epoch,train_loss,valid_loss,accuracy,time,model
0,1.518467,1.454644,0.4759,00:20,xresnet50
1,1.350118,1.3046360000000001,0.5293,00:20,xresnet50
2,1.288139,1.225098,0.5652,00:20,xresnet50
3,1.191859,1.14747,0.5886,00:20,xresnet50
4,1.127506,1.1056620000000001,0.606,00:20,xresnet50
5,1.075631,1.0499129999999999,0.626,00:20,xresnet50
6,1.020326,0.9893219999999999,0.6488,00:20,xresnet50
7,0.977261,0.957672,0.6694,00:20,xresnet50
8,0.943691,0.9280379999999999,0.6713,00:20,xresnet50
9,0.883036,0.9131889999999999,0.6817,00:21,xresnet50
10,0.861817,0.9106059999999999,0.6858,00:20,xresnet50
11,0.798465,0.760672,0.735,00:21,xresnet50
12,0.762884,0.762033,0.7369,00:20,xresnet50
13,0.740995,0.786655,0.7316,00:21,xresnet50
14,0.7004600000000001,0.7508,0.7426,00:21,xresnet50
15,0.675003,0.721896,0.7474,00:20,xresnet50
16,0.620387,0.692609,0.7673,00:21,xresnet50
17,0.619445,0.672948,0.7715,00:21,xresnet50
18,0.587505,0.588817,0.799,00:21,xresnet50
19,0.553398,0.6944779999999999,0.7744,00:21,xresnet50
20,0.527389,0.6641,0.7793,00:20,xresnet50
21,0.492145,0.6134069999999999,0.7986,00:21,xresnet50
22,0.46943900000000005,0.5976199999999999,0.8037,00:21,xresnet50
23,0.44878199999999996,0.577213,0.8099,00:21,xresnet50
24,0.433697,0.613225,0.7956,00:21,xresnet50
25,0.41363,0.557343,0.8208,00:20,xresnet50
26,0.388698,0.5403939999999999,0.8287,00:21,xresnet50
27,0.38010700000000003,0.547291,0.8232,00:21,xresnet50
28,0.350511,0.505246,0.8411,00:20,xresnet50
29,0.333615,0.5426850000000001,0.828,00:21,xresnet50
30,0.321071,0.476562,0.8521,00:21,xresnet50
31,0.296494,0.51673,0.8426,00:21,xresnet50
32,0.287983,0.49065600000000004,0.8449,00:21,xresnet50
33,0.27404,0.5182859999999999,0.8449,00:21,xresnet50
34,0.251267,0.546216,0.8385,00:21,xresnet50
35,0.23604299999999998,0.543133,0.8469,00:20,xresnet50
36,0.217498,0.500373,0.8535,00:21,xresnet50
37,0.22133200000000003,0.5037189999999999,0.8561,00:21,xresnet50
38,0.202179,0.552589,0.8504,00:21,xresnet50
39,0.197431,0.522047,0.8549,00:21,xresnet50
40,0.17923599999999998,0.518383,0.8601,00:21,xresnet50
41,0.17090999999999998,0.516624,0.8589,00:21,xresnet50
42,0.163115,0.5421100000000001,0.8524,00:21,xresnet50
43,0.146751,0.577832,0.8539,00:21,xresnet50
44,0.149902,0.5393100000000001,0.8566,00:21,xresnet50
45,0.147573,0.546239,0.8569,00:21,xresnet50
46,0.130728,0.5369109999999999,0.8663,00:21,xresnet50
47,0.125,0.5172829999999999,0.865,00:20,xresnet50
48,0.127478,0.53668,0.8591,00:21,xresnet50
49,0.11098599999999999,0.5160859999999999,0.8687,00:20,xresnet50
50,0.101198,0.54157,0.8671,00:21,xresnet50
51,0.100951,0.5367029999999999,0.8693,00:21,xresnet50
52,0.089166,0.542912,0.8709,00:21,xresnet50
53,0.092377,0.545602,0.8689,00:20,xresnet50
54,0.080488,0.528346,0.8689,00:21,xresnet50
55,0.080488,0.576811,0.8612,00:21,xresnet50
56,0.077532,0.525726,0.8759,00:21,xresnet50
57,0.068465,0.57044,0.8705,00:21,xresnet50
58,0.068875,0.587892,0.8683,00:21,xresnet50
59,0.057678999999999994,0.54543,0.876,00:21,xresnet50
60,0.053658000000000004,0.571446,0.8732,00:20,xresnet50
61,0.051005,0.550032,0.878,00:21,xresnet50
62,0.045005,0.565934,0.8729,00:21,xresnet50
63,0.04625,0.5420020000000001,0.879,00:21,xresnet50
64,0.04322,0.571611,0.8753,00:21,xresnet50
65,0.040136,0.556843,0.8808,00:21,xresnet50
66,0.035194,0.562971,0.8787,00:21,xresnet50
67,0.0311,0.57406,0.8788,00:21,xresnet50
68,0.035338,0.575395,0.8823,00:21,xresnet50
69,0.026655,0.574863,0.8842,00:21,xresnet50
70,0.024031,0.564474,0.8831,00:21,xresnet50
71,0.021356,0.573357,0.8821,00:21,xresnet50
72,0.022919,0.576087,0.882,00:21,xresnet50
73,0.018385,0.5821430000000001,0.8827,00:21,xresnet50
74,0.01855,0.573505,0.8838,00:21,xresnet50
75,0.017740000000000002,0.586921,0.8862,00:21,xresnet50
76,0.014709,0.593942,0.886,00:21,xresnet50
77,0.015101,0.5789989999999999,0.8854,00:21,xresnet50
78,0.012532,0.581485,0.8906,00:21,xresnet50
79,0.01182,0.578789,0.89,00:21,xresnet50
80,0.011211,0.573414,0.8915,00:21,xresnet50
81,0.008279,0.589883,0.8911,00:21,xresnet50
82,0.008101,0.601685,0.8909,00:21,xresnet50
83,0.00783,0.597,0.887,00:21,xresnet50
84,0.006876,0.603817,0.8893,00:21,xresnet50
85,0.008051,0.601734,0.8886,00:21,xresnet50
86,0.006615,0.596093,0.8923,00:21,xresnet50
87,0.0048259999999999996,0.587685,0.8933,00:21,xresnet50
88,0.005456,0.580593,0.894,00:21,xresnet50
89,0.005095000000000001,0.591533,0.8929,00:21,xresnet50
90,0.0038469999999999997,0.591006,0.8943,00:21,xresnet50
91,0.003925,0.5918479999999999,0.8955,00:21,xresnet50
92,0.004606,0.591575,0.8962,00:21,xresnet50
93,0.003622,0.5884550000000001,0.8954,00:21,xresnet50
94,0.003351,0.582821,0.8955,00:21,xresnet50
95,0.003249,0.584094,0.8962,00:21,xresnet50
96,0.002686,0.5849810000000001,0.8968,00:21,xresnet50
97,0.0033090000000000003,0.588237,0.8953,00:21,xresnet50
98,0.003109,0.588147,0.8953,00:21,xresnet50
99,0.0033159999999999995,0.5921960000000001,0.8959,00:21,xresnet50
0,1.5605149999999999,1.4276739999999999,0.4893,00:15,xresnet34
1,1.300517,1.2410139999999998,0.5621,00:15,xresnet34
2,1.1865649999999999,1.1294030000000002,0.6021,00:15,xresnet34
3,1.121573,1.0666200000000001,0.6208,00:15,xresnet34
4,1.041185,0.9888020000000001,0.6496,00:15,xresnet34
5,0.9752360000000001,0.9614030000000001,0.6553,00:15,xresnet34
6,0.9245200000000001,0.963,0.6589,00:15,xresnet34
7,0.885141,0.822002,0.7133,00:15,xresnet34
8,0.8235889999999999,0.823845,0.7145,00:15,xresnet34
9,0.7910510000000001,0.795752,0.7233,00:15,xresnet34
10,0.7473310000000001,0.775305,0.7278,00:15,xresnet34
11,0.712224,0.734405,0.7439,00:15,xresnet34
12,0.714951,0.692521,0.7644,00:15,xresnet34
13,0.654026,0.8024279999999999,0.7272,00:15,xresnet34
14,0.633182,0.707752,0.7613,00:15,xresnet34
15,0.6065159999999999,0.6348600000000001,0.7796,00:15,xresnet34
16,0.584113,0.656732,0.7796,00:15,xresnet34
17,0.558215,0.731993,0.7568,00:15,xresnet34
18,0.535473,0.594197,0.794,00:15,xresnet34
19,0.511283,0.6698529999999999,0.7781,00:15,xresnet34
20,0.485358,0.579299,0.807,00:15,xresnet34
21,0.47408100000000003,0.5522779999999999,0.8157,00:15,xresnet34
22,0.45714099999999996,0.546013,0.8196,00:15,xresnet34
23,0.437317,0.60982,0.8002,00:15,xresnet34
24,0.41055600000000003,0.5597850000000001,0.8166,00:15,xresnet34
25,0.40994200000000003,0.5194300000000001,0.8285,00:15,xresnet34
26,0.39884200000000003,0.510727,0.8302,00:15,xresnet34
27,0.36909200000000003,0.515658,0.8329,00:15,xresnet34
28,0.36729,0.5063850000000001,0.8309,00:15,xresnet34
29,0.348376,0.48835500000000004,0.8394,00:15,xresnet34
30,0.33366599999999996,0.470785,0.8469,00:15,xresnet34
31,0.312743,0.490709,0.8457,00:15,xresnet34
32,0.30800700000000003,0.505845,0.8448,00:15,xresnet34
33,0.291553,0.49597299999999994,0.8426,00:15,xresnet34
34,0.283908,0.470876,0.852,00:15,xresnet34
35,0.269567,0.509922,0.8464,00:15,xresnet34
36,0.25606599999999996,0.501253,0.8441,00:15,xresnet34
37,0.24647,0.479684,0.8514,00:15,xresnet34
38,0.24125100000000002,0.513152,0.8532,00:15,xresnet34
39,0.22249699999999997,0.492291,0.8545,00:15,xresnet34
40,0.221298,0.48155299999999995,0.8582,00:15,xresnet34
41,0.20869899999999997,0.492591,0.8558,00:15,xresnet34
42,0.21091700000000002,0.466446,0.8617,00:15,xresnet34
43,0.210229,0.519892,0.8554,00:15,xresnet34
44,0.196461,0.470447,0.861,00:15,xresnet34
45,0.185895,0.548297,0.8542,00:15,xresnet34
46,0.177803,0.48122700000000007,0.8622,00:15,xresnet34
47,0.163075,0.492313,0.8658,00:15,xresnet34
48,0.155178,0.495039,0.861,00:15,xresnet34
49,0.153804,0.477563,0.8732,00:15,xresnet34
50,0.14921800000000002,0.541308,0.861,00:15,xresnet34
51,0.132997,0.517845,0.8669,00:15,xresnet34
