epoch,train_loss,valid_loss,accuracy,time,model
0,1.476907,1.36042,0.5077,00:15,xresnet34
1,1.239511,1.187443,0.5743,00:15,xresnet34
2,1.1224459999999998,1.07525,0.6154,00:15,xresnet34
3,1.034885,1.094837,0.6254,00:16,xresnet34
4,0.9495889999999999,0.95014,0.6645,00:15,xresnet34
5,0.872122,0.952398,0.6666,00:15,xresnet34
6,0.803035,0.852339,0.7074,00:16,xresnet34
7,0.755412,0.7222890000000001,0.7455,00:15,xresnet34
8,0.711615,0.715078,0.7512,00:15,xresnet34
9,0.6747479999999999,0.688822,0.7612,00:15,xresnet34
10,0.625869,0.707025,0.7618,00:16,xresnet34
11,0.584685,0.6069640000000001,0.7904,00:15,xresnet34
12,0.570699,0.671366,0.7728,00:16,xresnet34
13,0.532632,0.680503,0.7734,00:16,xresnet34
14,0.512957,0.560813,0.8086,00:16,xresnet34
15,0.479808,0.57835,0.807,00:16,xresnet34
16,0.452941,0.577096,0.8069,00:16,xresnet34
17,0.422087,0.581498,0.8061,00:15,xresnet34
18,0.402926,0.519456,0.8265,00:16,xresnet34
19,0.380839,0.6193350000000001,0.8032,00:16,xresnet34
20,0.365643,0.572078,0.8115,00:16,xresnet34
21,0.34421999999999997,0.498511,0.8393,00:16,xresnet34
22,0.320929,0.504421,0.8339,00:15,xresnet34
23,0.308188,0.537419,0.8368,00:15,xresnet34
24,0.294561,0.47085,0.8535,00:16,xresnet34
25,0.27863699999999997,0.600286,0.8292,00:15,xresnet34
26,0.26114899999999996,0.513282,0.8479,00:16,xresnet34
27,0.239642,0.48512200000000005,0.8551,00:16,xresnet34
28,0.22313200000000002,0.475605,0.8597,00:15,xresnet34
29,0.212549,0.501555,0.8489,00:15,xresnet34
30,0.20524099999999998,0.47093199999999996,0.8639,00:15,xresnet34
31,0.19395199999999999,0.447387,0.8688,00:16,xresnet34
32,0.171876,0.450842,0.8762,00:15,xresnet34
33,0.150746,0.44945100000000004,0.8761,00:16,xresnet34
34,0.15248599999999998,0.47427700000000006,0.8713,00:16,xresnet34
35,0.123322,0.454165,0.8804,00:16,xresnet34
36,0.124368,0.463483,0.8781,00:16,xresnet34
37,0.102644,0.440622,0.8841,00:16,xresnet34
38,0.09012200000000001,0.45267700000000005,0.8869,00:16,xresnet34
39,0.07751799999999999,0.46002,0.886,00:16,xresnet34
40,0.06651599999999999,0.461617,0.8895,00:16,xresnet34
41,0.06552000000000001,0.46794300000000005,0.8891,00:16,xresnet34
42,0.062012,0.46861499999999995,0.891,00:16,xresnet34
43,0.05569400000000001,0.456747,0.8932,00:16,xresnet34
44,0.048858,0.455829,0.8929,00:15,xresnet34
45,0.046896,0.46274799999999994,0.8946,00:16,xresnet34
46,0.042099,0.46593500000000004,0.8937,00:16,xresnet34
47,0.043102,0.465678,0.8948,00:16,xresnet34
48,0.043564,0.46621599999999996,0.8957,00:16,xresnet34
49,0.047136000000000004,0.46392700000000003,0.8955,00:16,xresnet34
0,1.650564,1.535048,0.4553,00:20,xresnet50
1,1.412631,1.366354,0.5049,00:20,xresnet50
2,1.311747,1.246781,0.5572,00:20,xresnet50
3,1.208618,1.210314,0.5673,00:20,xresnet50
4,1.160595,1.101389,0.608,00:21,xresnet50
5,1.068842,1.042343,0.6317,00:21,xresnet50
6,1.016897,0.972324,0.6566,00:21,xresnet50
7,0.9508770000000001,0.8834129999999999,0.6917,00:21,xresnet50
8,0.915667,0.95941,0.6702,00:21,xresnet50
9,0.821425,0.827508,0.7178,00:21,xresnet50
10,0.813855,0.79166,0.7241,00:21,xresnet50
11,0.7505930000000001,0.8541200000000001,0.7015,00:21,xresnet50
12,0.6816479999999999,0.791316,0.725,00:21,xresnet50
13,0.646638,0.68416,0.7676,00:21,xresnet50
14,0.6078560000000001,0.674028,0.7721,00:21,xresnet50
15,0.5538609999999999,0.630003,0.7901,00:21,xresnet50
16,0.532215,0.597114,0.8,00:20,xresnet50
17,0.49236,0.6079140000000001,0.8031,00:21,xresnet50
18,0.45955100000000004,0.565437,0.8142,00:20,xresnet50
19,0.433429,0.5358,0.8218,00:20,xresnet50
20,0.401959,0.5493600000000001,0.8196,00:20,xresnet50
21,0.38092800000000004,0.5416890000000001,0.8256,00:20,xresnet50
22,0.354773,0.528159,0.8289,00:20,xresnet50
23,0.315398,0.528831,0.8315,00:20,xresnet50
24,0.29586599999999996,0.530208,0.8328,00:20,xresnet50
25,0.286744,0.503691,0.8476,00:20,xresnet50
26,0.25542800000000004,0.49981000000000003,0.844,00:20,xresnet50
27,0.22553,0.51239,0.8458,00:20,xresnet50
28,0.216092,0.5186109999999999,0.8481,00:20,xresnet50
29,0.197128,0.537213,0.8429,00:20,xresnet50
30,0.169568,0.508699,0.8531,00:20,xresnet50
31,0.1555,0.510733,0.8555,00:20,xresnet50
32,0.139578,0.510548,0.8592,00:20,xresnet50
33,0.127101,0.506745,0.8588,00:20,xresnet50
34,0.10694200000000001,0.534503,0.858,00:20,xresnet50
35,0.098815,0.5330590000000001,0.8626,00:20,xresnet50
36,0.08518300000000001,0.535354,0.8618,00:20,xresnet50
37,0.08329500000000001,0.53504,0.8602,00:20,xresnet50
38,0.067897,0.5443140000000001,0.8606,00:20,xresnet50
39,0.060574,0.534004,0.8655,00:20,xresnet50
40,0.053784000000000005,0.53227,0.8658,00:20,xresnet50
41,0.047096,0.526814,0.8689,00:20,xresnet50
42,0.040635000000000004,0.531027,0.8679,00:20,xresnet50
43,0.037492000000000004,0.541115,0.8682,00:20,xresnet50
44,0.03789,0.537626,0.8678,00:20,xresnet50
45,0.030976999999999998,0.5403899999999999,0.8693,00:20,xresnet50
46,0.033544,0.538683,0.8689,00:20,xresnet50
47,0.030249,0.5473020000000001,0.8692,00:20,xresnet50
48,0.027022000000000004,0.534791,0.8698,00:20,xresnet50
49,0.029687,0.540658,0.8698,00:20,xresnet50
0,1.5168059999999999,1.383449,0.507,00:10,xresnet18
1,1.263902,1.157483,0.5837,00:10,xresnet18
2,1.132967,1.037052,0.6276,00:10,xresnet18
3,1.0427819999999999,1.02162,0.6411,00:10,xresnet18
4,0.953458,0.9916219999999999,0.651,00:10,xresnet18
5,0.883633,0.833392,0.7063,00:10,xresnet18
6,0.8373299999999999,0.9148649999999999,0.6826,00:10,xresnet18
7,0.792471,0.79513,0.7206,00:10,xresnet18
8,0.737136,0.7186520000000001,0.7475,00:10,xresnet18
9,0.693117,0.72993,0.7474,00:10,xresnet18
10,0.638682,0.748252,0.7464,00:10,xresnet18
11,0.614846,0.646195,0.7786,00:10,xresnet18
12,0.5768399999999999,0.577146,0.8029,00:10,xresnet18
13,0.574177,0.5906859999999999,0.7955,00:10,xresnet18
14,0.510112,0.5930310000000001,0.7983,00:10,xresnet18
15,0.483347,0.5666899999999999,0.8094,00:10,xresnet18
16,0.471767,0.520594,0.8246,00:10,xresnet18
17,0.43050600000000006,0.522054,0.8258,00:10,xresnet18
18,0.424,0.51317,0.8269,00:10,xresnet18
19,0.393214,0.500542,0.8309,00:10,xresnet18
20,0.368383,0.510672,0.8373,00:10,xresnet18
21,0.357156,0.44057700000000005,0.8499,00:10,xresnet18
22,0.34491700000000003,0.468117,0.8479,00:10,xresnet18
23,0.317347,0.45021400000000006,0.8502,00:10,xresnet18
24,0.305177,0.427933,0.8634,00:10,xresnet18
25,0.291641,0.463433,0.8507,00:10,xresnet18
26,0.274856,0.460345,0.8525,00:10,xresnet18
27,0.248813,0.44239300000000004,0.861,00:10,xresnet18
