,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Train top-3 accuracy,Test loss,Test accuracy,Test top-3 accuracy
0,0.0,90.65883588790894,0.23186403040385917,1.4780060793737622,0.46351502557544755,0.788646898976982,1.2475601283809807,0.5511273734177216,0.8585838607594937
1,1.0,91.7141523361206,0.2345630494529939,1.094358134147761,0.6073409526244454,0.8829044117647058,1.0814447063433974,0.6157041139240507,0.8950751582278481
2,2.0,92.018137216568,0.23534050439019946,0.9356262035991835,0.6666999680306905,0.9101862212276215,0.8099911062023307,0.7185522151898734,0.9275118670886076
3,3.0,92.10044860839844,0.23555101945881954,0.8211827916867288,0.7083040280720158,0.9276214833759591,0.7454836413830142,0.7404074367088608,0.9435324367088608
4,4.0,92.16503262519836,0.23571619597237434,0.7257322621010148,0.7437779731152917,0.9408008312020459,0.6539905844609949,0.774129746835443,0.9546083860759493
5,5.0,92.21456789970398,0.23584288465397438,0.6464864998064992,0.7738930627208231,0.9522058823529411,0.6397966327546518,0.7848101265822784,0.9547072784810127
6,6.0,92.22029829025269,0.23585754038427797,0.5871185533073552,0.7944773017902813,0.9580362851662405,0.5548394133773031,0.8056764240506329,0.968057753164557
7,7.0,92.22033524513245,0.23585763489803696,0.5400117118187877,0.8120324488186166,0.9642063618925831,0.5532103965554056,0.8140822784810127,0.9644976265822784
8,8.0,92.25442099571228,0.23594481073072193,0.4896931162728068,0.8280370843684887,0.9690377237851663,0.5076667285418208,0.8300039556962026,0.9691455696202531
9,9.0,92.3432548046112,0.2361720071729187,0.46368960232076134,0.8384750639386189,0.9719948849104859,0.48401729781416397,0.8310917721518988,0.9729034810126582
10,10.0,92.33720827102661,0.23615654289265117,0.42346335105274036,0.8533887468335574,0.9758871483375958,0.4345752221496799,0.8561115506329114,0.9745846518987342
11,11.0,92.35378217697144,0.23619893139890394,0.39581601317886195,0.8611333120204604,0.9787084398976983,0.40701074143753774,0.8651107594936709,0.9770569620253164
12,12.0,92.37663102149963,0.2362573683414313,0.3691759411331333,0.8701486572280259,0.9813419117647059,0.42104121533375755,0.857693829113924,0.9762658227848101
13,13.0,92.36802124977112,0.23623534846488778,0.34418549379119484,0.8788163363171355,0.983016304347826,0.39254202344749545,0.8670886075949367,0.9821993670886076
14,14.0,92.3669319152832,0.23623256244317956,0.32610269630199196,0.8858935421385119,0.9845188618925831,0.4236377939770493,0.8568037974683544,0.9788370253164557
15,15.0,92.38131594657898,0.23626935024700507,0.3086356600303479,0.8919956841127342,0.9869445332480818,0.4231108000761346,0.8578916139240507,0.9786392405063291
